idno;cntry;demogr;regionR
2;Poland;22;62
5;Poland;23;21
6;Poland;13;12
7;Poland;23;63
15;Poland;11;41
18;Poland;13;11
24;Poland;12;61
26;Poland;21;12
45;Poland;21;21
47;Poland;13;21
48;Poland;22;21
55;Poland;12;63
56;Poland;22;62
62;Poland;21;63
67;Poland;12;22
69;Poland;23;41
78;Poland;12;41
82;Poland;23;31
86;Poland;13;22
88;Poland;23;61
89;Poland;22;21
92;Poland;11;41
101;Poland;21;21
102;Poland;21;51
106;Poland;21;62
110;Poland;11;61
113;Poland;13;43
117;Poland;12;12
119;Poland;11;22
128;Poland;23;22
139;Poland;12;12
152;Poland;21;12
154;Poland;13;22
155;Poland;13;42
156;Poland;11;21
157;Poland;12;43
160;Poland;12;61
164;Poland;13;41
166;Poland;22;31
173;Poland;23;32
195;Poland;12;63
197;Poland;23;12
207;Poland;23;12
208;Poland;23;11
217;Poland;11;32
218;Poland;13;22
229;Poland;12;22
235;Poland;12;22
237;Poland;12;22
238;Poland;13;12
239;Poland;12;32
242;Poland;21;32
243;Poland;12;12
252;Poland;22;42
257;Poland;21;43
269;Poland;23;22
271;Poland;22;22
272;Poland;13;22
273;Poland;21;52
279;Poland;13;22
283;Poland;11;22
290;Poland;21;22
295;Poland;12;51
301;Poland;11;12
308;Poland;13;52
312;Poland;13;21
315;Poland;11;31
317;Poland;21;51
322;Poland;13;31
329;Poland;21;62
338;Poland;23;31
339;Poland;12;31
340;Poland;23;61
341;Poland;22;12
348;Poland;22;34
359;Poland;12;12
361;Poland;21;22
372;Poland;12;32
373;Poland;22;22
381;Poland;23;22
385;Poland;22;51
387;Poland;22;52
396;Poland;21;12
401;Poland;11;63
402;Poland;23;51
403;Poland;22;33
407;Poland;11;61
408;Poland;21;21
416;Poland;21;12
421;Poland;22;22
425;Poland;23;31
436;Poland;23;62
464;Poland;12;12
466;Poland;12;22
470;Poland;23;22
472;Poland;21;12
473;Poland;12;51
474;Poland;12;12
486;Poland;21;42
489;Poland;21;51
493;Poland;22;62
507;Poland;11;61
509;Poland;23;63
511;Poland;11;41
513;Poland;22;11
519;Poland;23;61
524;Poland;22;43
526;Poland;23;34
530;Poland;12;12
542;Poland;13;63
544;Poland;23;63
545;Poland;11;22
552;Poland;11;11
557;Poland;23;12
567;Poland;11;42
568;Poland;23;42
574;Poland;23;32
588;Poland;22;11
602;Poland;13;11
605;Poland;22;61
612;Poland;11;32
617;Poland;13;42
620;Poland;23;12
650;Poland;11;21
655;Poland;13;33
662;Poland;13;21
663;Poland;11;22
670;Poland;11;12
679;Poland;22;11
680;Poland;23;12
695;Poland;11;21
697;Poland;22;51
700;Poland;23;12
704;Poland;21;52
707;Poland;23;22
708;Poland;11;12
717;Poland;13;31
718;Poland;22;41
736;Poland;12;34
739;Poland;13;62
741;Poland;11;11
743;Poland;23;22
746;Poland;23;22
747;Poland;11;51
753;Poland;22;22
760;Poland;11;63
762;Poland;11;51
763;Poland;21;43
764;Poland;12;62
765;Poland;23;22
769;Poland;23;42
774;Poland;11;21
776;Poland;21;33
777;Poland;11;11
793;Poland;22;31
799;Poland;21;31
801;Poland;11;62
813;Poland;21;31
829;Poland;12;12
833;Poland;23;34
835;Poland;13;22
845;Poland;12;12
846;Poland;21;63
849;Poland;13;42
850;Poland;23;22
854;Poland;21;21
888;Poland;13;22
891;Poland;13;41
894;Poland;21;12
898;Poland;22;61
901;Poland;11;34
907;Poland;11;22
909;Poland;23;12
913;Poland;23;62
940;Poland;22;51
967;Poland;23;32
980;Poland;12;42
982;Poland;11;41
983;Poland;23;32
984;Poland;23;63
994;Poland;22;62
1017;Poland;13;62
1018;Poland;23;22
1033;Poland;22;51
1037;Poland;12;63
1038;Poland;13;22
1039;Poland;12;22
1044;Poland;23;12
1055;Poland;22;32
1059;Poland;12;11
1067;Poland;12;63
1070;Poland;21;61
1088;Poland;21;61
1093;Poland;12;21
1094;Poland;21;11
1095;Poland;23;12
1100;Poland;21;61
1111;Poland;12;22
1117;Poland;13;11
1119;Poland;21;12
1123;Poland;13;12
1125;Poland;13;21
1132;Poland;22;22
1136;Poland;23;12
1137;Poland;21;12
1139;Poland;23;41
1141;Poland;23;63
1151;Poland;11;42
1152;Poland;11;51
1156;Poland;11;32
1157;Poland;21;22
1165;Poland;12;12
1172;Poland;23;22
1174;Poland;22;21
1175;Poland;22;42
1177;Poland;21;42
1178;Poland;21;33
1183;Poland;22;33
1188;Poland;22;12
1192;Poland;21;12
1193;Poland;12;52
1195;Poland;21;51
1202;Poland;11;12
1208;Poland;13;34
1210;Poland;22;21
1216;Poland;13;32
1217;Poland;12;52
1221;Poland;11;62
1222;Poland;21;52
1230;Poland;21;12
1233;Poland;21;41
1238;Poland;12;42
1239;Poland;23;62
1252;Poland;11;43
1257;Poland;13;42
1261;Poland;22;11
1262;Poland;12;34
1269;Poland;11;12
1287;Poland;22;63
1289;Poland;13;22
1291;Poland;21;11
1296;Poland;13;31
1297;Poland;12;41
1300;Poland;23;43
1303;Poland;12;22
1304;Poland;22;21
1309;Poland;11;51
1313;Poland;23;22
1318;Poland;12;41
1330;Poland;11;12
1333;Poland;22;63
1336;Poland;23;12
1340;Poland;23;11
1348;Poland;13;42
1350;Poland;13;12
1354;Poland;21;34
1364;Poland;23;12
1365;Poland;13;12
1366;Poland;11;61
1367;Poland;21;12
1371;Poland;12;12
1374;Poland;23;41
1375;Poland;12;21
1376;Poland;23;41
1380;Poland;22;52
1381;Poland;11;43
1388;Poland;12;22
1391;Poland;11;21
1394;Poland;11;41
1395;Poland;13;62
1397;Poland;13;32
1402;Poland;21;43
1407;Poland;22;42
1409;Poland;11;11
1410;Poland;21;21
1424;Poland;12;63
1440;Poland;23;12
1451;Poland;12;63
1458;Poland;12;42
1461;Poland;22;12
1463;Poland;23;61
1477;Poland;13;11
1478;Poland;21;21
1486;Poland;22;43
1489;Poland;23;63
1494;Poland;22;21
1496;Poland;21;31
1498;Poland;11;41
1503;Poland;13;22
1506;Poland;11;21
1523;Poland;13;51
1535;Poland;12;21
1552;Poland;22;52
1554;Poland;23;52
1572;Poland;12;62
1573;Poland;11;21
1574;Poland;21;11
1587;Poland;13;32
1589;Poland;12;51
1591;Poland;23;51
1598;Poland;11;32
1600;Poland;22;31
1603;Poland;22;33
1604;Poland;11;34
1613;Poland;11;12
1617;Poland;21;12
1618;Poland;12;51
1623;Poland;13;32
1625;Poland;23;51
1630;Poland;21;61
1640;Poland;22;32
1644;Poland;12;11
1656;Poland;22;22
1663;Poland;12;62
1669;Poland;21;41
1670;Poland;21;51
1672;Poland;22;32
1675;Poland;23;32
1677;Poland;23;12
1679;Poland;22;43
1684;Poland;23;52
1687;Poland;12;12
1689;Poland;23;32
1697;Poland;12;61
1703;Poland;12;12
1713;Poland;13;43
1729;Poland;13;31
1739;Poland;11;12
1743;Poland;23;52
1747;Poland;11;32
1751;Poland;13;63
1753;Poland;21;61
1761;Poland;11;33
1776;Poland;21;12
1777;Poland;12;12
1780;Poland;21;22
1781;Poland;22;41
1783;Poland;23;22
1797;Poland;21;21
1803;Poland;11;11
1805;Poland;13;11
1809;Poland;23;52
1813;Poland;13;32
1817;Poland;21;41
1841;Poland;11;21
1842;Poland;23;63
1854;Poland;23;34
1861;Poland;12;61
1870;Poland;12;52
1874;Poland;21;11
1885;Poland;11;21
1886;Poland;23;12
1896;Poland;23;63
1899;Poland;22;51
1906;Poland;23;61
1915;Poland;13;63
1928;Poland;23;52
1929;Poland;21;11
1931;Poland;21;22
1933;Poland;13;51
1937;Poland;22;22
1940;Poland;23;11
1941;Poland;13;31
1946;Poland;22;11
1950;Poland;23;22
1957;Poland;23;33
1965;Poland;23;41
1968;Poland;13;61
1977;Poland;12;51
2013;Poland;23;11
2020;Poland;12;22
2023;Poland;12;34
2031;Poland;11;52
2032;Poland;23;12
2033;Poland;11;41
2042;Poland;11;11
2045;Poland;22;41
2049;Poland;11;41
2053;Poland;21;63
2058;Poland;11;11
2062;Poland;11;32
2063;Poland;22;43
2064;Poland;21;43
2074;Poland;22;21
2076;Poland;23;12
2077;Poland;22;51
2081;Poland;11;41
2084;Poland;23;11
2086;Poland;12;12
2090;Poland;22;22
2096;Poland;12;62
2100;Poland;12;61
2103;Poland;21;32
2109;Poland;11;41
2115;Poland;11;22
2118;Poland;13;12
2120;Poland;22;21
2136;Poland;23;61
2137;Poland;23;52
2141;Poland;13;31
2146;Poland;21;33
2155;Poland;22;41
2168;Poland;12;51
2169;Poland;11;31
2175;Poland;23;43
2176;Poland;23;33
2182;Poland;21;11
2193;Poland;21;34
2194;Poland;13;22
2195;Poland;21;12
2203;Poland;21;21
2205;Poland;12;32
2210;Poland;21;12
2228;Poland;22;22
2230;Poland;11;41
2231;Poland;23;34
2242;Poland;23;51
2245;Poland;13;61
2246;Poland;11;62
2253;Poland;22;41
2255;Poland;11;31
2257;Poland;21;41
2260;Poland;11;11
2266;Poland;11;61
2267;Poland;12;32
2275;Poland;23;43
2279;Poland;22;51
2280;Poland;12;12
2281;Poland;12;41
2284;Poland;22;41
2288;Poland;22;21
2294;Poland;13;22
2301;Poland;21;61
2305;Poland;22;21
2306;Poland;21;22
2316;Poland;22;32
2324;Poland;12;32
2327;Poland;23;51
2334;Poland;23;22
2351;Poland;12;21
2363;Poland;22;32
2371;Poland;23;31
2372;Poland;22;42
2388;Poland;13;22
2391;Poland;11;22
2393;Poland;12;11
2396;Poland;11;62
2404;Poland;13;33
2413;Poland;23;22
2420;Poland;11;31
2424;Poland;12;22
2429;Poland;22;31
2437;Poland;11;32
2443;Poland;21;12
2444;Poland;21;22
2448;Poland;22;22
2455;Poland;22;63
2475;Poland;13;41
2476;Poland;23;22
2477;Poland;11;22
2481;Poland;21;41
2489;Poland;13;11
2495;Poland;11;22
2499;Poland;23;34
2503;Poland;13;51
2511;Poland;11;63
2521;Poland;11;32
2527;Poland;23;12
2528;Poland;21;21
2534;Poland;12;61
2537;Poland;21;31
2543;Poland;22;63
2546;Poland;21;61
2554;Poland;11;51
2555;Poland;23;31
2559;Poland;23;51
2561;Poland;11;52
2564;Poland;12;22
2569;Poland;22;31
2571;Poland;23;12
2575;Poland;12;63
2579;Poland;13;32
2580;Poland;21;12
2584;Poland;13;52
2585;Poland;11;61
2597;Poland;23;42
2599;Poland;21;41
2601;Poland;13;62
2605;Poland;13;32
2609;Poland;21;52
2621;Poland;21;11
2622;Poland;23;31
2628;Poland;11;21
2631;Poland;23;41
2639;Poland;11;41
2643;Poland;23;33
2644;Poland;22;12
2651;Poland;11;51
2655;Poland;13;41
2669;Poland;21;12
2677;Poland;13;43
2680;Poland;22;22
2682;Poland;12;41
2684;Poland;12;63
2690;Poland;13;52
2697;Poland;21;11
2703;Poland;21;21
2708;Poland;23;33
2714;Poland;23;33
2733;Poland;22;32
2737;Poland;12;62
2738;Poland;13;12
2756;Poland;21;11
2766;Poland;21;34
2768;Poland;13;11
2773;Poland;12;12
2775;Poland;23;43
2780;Poland;13;31
2781;Poland;21;52
2792;Poland;13;62
2793;Poland;22;21
2808;Poland;21;51
2815;Poland;11;12
2818;Poland;22;22
2824;Poland;13;21
2826;Poland;21;12
2833;Poland;13;33
2841;Poland;11;63
2843;Poland;21;21
2844;Poland;21;22
2852;Poland;21;41
2867;Poland;13;11
2870;Poland;13;22
2873;Poland;11;22
2877;Poland;12;63
2878;Poland;23;33
2881;Poland;23;11
2889;Poland;22;41
2894;Poland;12;22
2908;Poland;11;32
2911;Poland;22;21
2914;Poland;21;34
2920;Poland;23;41
2921;Poland;22;34
2922;Poland;12;12
2924;Poland;22;22
2926;Poland;23;61
2929;Poland;12;22
2930;Poland;23;22
2934;Poland;21;21
2935;Poland;11;12
2938;Poland;22;22
2941;Poland;21;63
2942;Poland;22;31
2957;Poland;23;21
2963;Poland;22;61
2968;Poland;23;61
2979;Poland;22;42
2982;Poland;12;31
2985;Poland;23;21
2991;Poland;23;21
2992;Poland;23;41
2996;Poland;12;22
3001;Poland;22;33
3011;Poland;11;12
3014;Poland;23;11
3015;Poland;21;61
3021;Poland;23;21
3028;Poland;23;63
3029;Poland;23;42
3031;Poland;12;61
3034;Poland;22;21
3039;Poland;21;61
3040;Poland;22;62
3052;Poland;11;12
3056;Poland;12;21
3066;Poland;21;21
3069;Poland;21;32
3077;Poland;22;34
3092;Poland;11;22
3100;Poland;21;51
3101;Poland;21;63
3103;Poland;13;12
3109;Poland;22;51
3112;Poland;22;61
3115;Poland;12;52
3116;Poland;11;31
3135;Poland;12;51
3136;Poland;23;22
3142;Poland;11;22
3143;Poland;23;41
3145;Poland;12;63
3153;Poland;11;11
3155;Poland;13;51
3174;Poland;11;61
3182;Poland;22;22
3184;Poland;12;12
3185;Poland;11;32
3190;Poland;22;21
3195;Poland;23;21
3197;Poland;23;63
3203;Poland;11;32
3206;Poland;12;22
3207;Poland;23;21
3210;Poland;22;21
3214;Poland;13;21
3218;Poland;11;21
3219;Poland;11;22
3224;Poland;21;41
3227;Poland;11;11
3229;Poland;13;32
3234;Poland;21;12
3241;Poland;11;11
3258;Poland;11;21
3267;Poland;21;42
3273;Poland;21;11
3285;Poland;22;32
3287;Poland;12;43
3290;Poland;11;43
3292;Poland;21;63
3300;Poland;13;12
3301;Poland;13;22
3316;Poland;22;41
3317;Poland;13;31
3318;Poland;23;42
3321;Poland;12;12
3328;Poland;23;42
3329;Poland;23;41
3357;Poland;11;12
3358;Poland;21;63
3364;Poland;21;12
3369;Poland;22;63
3378;Poland;22;22
3397;Poland;22;12
3407;Poland;11;22
3410;Poland;11;31
3413;Poland;12;31
3423;Poland;11;62
3426;Poland;23;11
3433;Poland;12;22
3437;Poland;11;31
3441;Poland;23;22
3447;Poland;21;51
3457;Poland;13;41
3473;Poland;23;11
3475;Poland;22;62
3480;Poland;11;32
3486;Poland;11;41
3495;Poland;22;22
3503;Poland;13;12
3507;Poland;11;31
3512;Poland;21;41
3540;Poland;12;22
3544;Poland;21;31
3556;Poland;13;22
3564;Poland;11;12
3567;Poland;13;43
3568;Poland;23;41
3573;Poland;13;31
3574;Poland;21;31
3596;Poland;12;11
3600;Poland;21;63
3614;Poland;21;12
3624;Poland;21;21
3625;Poland;23;31
3639;Poland;22;62
3641;Poland;12;22
3646;Poland;22;42
3647;Poland;12;63
3649;Poland;11;42
3652;Poland;12;61
3653;Poland;23;21
3664;Poland;13;21
3668;Poland;11;63
3672;Poland;21;11
3678;Poland;11;41
3683;Poland;23;32
3690;Poland;23;63
3692;Poland;12;22
3693;Poland;13;33
3697;Poland;11;21
3713;Poland;11;32
3723;Poland;13;12
3724;Poland;23;12
3749;Poland;11;33
3750;Poland;12;34
3751;Poland;21;11
3753;Poland;23;63
3756;Poland;23;43
3760;Poland;21;21
3763;Poland;13;12
3768;Poland;21;51
3771;Poland;21;12
3774;Poland;22;42
3779;Poland;13;11
3787;Poland;12;12
3790;Poland;22;22
3795;Poland;23;41
3799;Poland;21;34
3810;Poland;23;21
3812;Poland;12;62
3813;Poland;13;21
3815;Poland;22;42
3816;Poland;21;31
3821;Poland;21;42
3823;Poland;21;63
3827;Poland;23;31
3834;Poland;23;12
3840;Poland;11;22
3841;Poland;22;31
3842;Poland;13;61
3849;Poland;23;43
3854;Poland;12;51
3858;Poland;21;22
3863;Poland;22;22
3872;Poland;22;33
3875;Poland;21;12
3880;Poland;11;31
3881;Poland;11;31
3891;Poland;13;32
3901;Poland;23;12
3910;Poland;23;12
3911;Poland;12;21
3932;Poland;23;12
3934;Poland;11;62
3940;Poland;13;41
3942;Poland;11;51
3954;Poland;11;61
3959;Poland;12;12
3963;Poland;22;21
3965;Poland;11;51
3968;Poland;23;61
3969;Poland;11;32
3971;Poland;11;11
3979;Poland;21;51
3982;Poland;22;61
3990;Poland;12;63
3996;Poland;13;11
4003;Poland;22;12
4006;Poland;23;61
4007;Poland;23;21
4010;Poland;13;33
4016;Poland;11;12
4022;Poland;13;22
4025;Poland;22;12
4031;Poland;23;31
4038;Poland;11;12
4040;Poland;22;61
4050;Poland;23;12
4051;Poland;23;41
4052;Poland;13;63
4059;Poland;23;51
4066;Poland;13;21
4067;Poland;12;12
4068;Poland;13;41
4077;Poland;11;22
4092;Poland;21;34
4096;Poland;22;22
4099;Poland;11;33
4102;Poland;21;22
4104;Poland;11;31
4106;Poland;13;61
4108;Poland;21;12
4114;Poland;13;52
4115;Poland;23;32
4116;Poland;23;51
4122;Poland;11;22
4123;Poland;21;22
4126;Poland;23;41
4127;Poland;13;22
4130;Poland;23;51
4144;Poland;23;34
4145;Poland;13;32
4149;Poland;22;62
4151;Poland;11;61
4152;Poland;12;12
4156;Poland;13;51
4159;Poland;22;31
4162;Poland;21;31
4166;Poland;22;22
4170;Poland;13;41
4176;Poland;22;51
4185;Poland;11;22
4187;Poland;13;11
4189;Poland;12;11
4190;Poland;11;12
4198;Poland;23;11
4199;Poland;23;11
4205;Poland;22;12
4209;Poland;21;33
4216;Poland;13;43
4218;Poland;21;62
4227;Poland;11;63
4229;Poland;22;51
4231;Poland;13;51
4232;Poland;21;21
4240;Poland;22;12
4242;Poland;13;61
4245;Poland;12;33
4261;Poland;23;22
4264;Poland;22;61
4273;Poland;22;42
4275;Poland;23;51
4282;Poland;21;22
4284;Poland;23;21
4286;Poland;21;12
4293;Poland;11;61
4299;Poland;22;63
4303;Poland;23;22
4310;Poland;13;22
4312;Poland;23;22
4314;Poland;22;21
4315;Poland;23;51
4318;Poland;23;12
4327;Poland;22;12
4328;Poland;21;63
4336;Poland;21;42
4347;Poland;22;11
4349;Poland;22;32
4352;Poland;11;31
4360;Poland;11;61
4391;Poland;21;11
4407;Poland;22;63
4410;Poland;22;43
4412;Poland;21;32
4421;Poland;23;21
4424;Poland;22;42
4427;Poland;12;22
4430;Poland;12;21
4431;Poland;21;22
4435;Poland;13;51
4437;Poland;11;12
4439;Poland;13;51
4441;Poland;23;21
4443;Poland;22;34
4446;Poland;12;51
4451;Poland;22;41
4454;Poland;12;34
4457;Poland;11;63
4474;Poland;13;31
4476;Poland;22;22
4479;Poland;22;22
4483;Poland;11;34
4485;Poland;13;41
4494;Poland;13;22
4511;Poland;12;62
4513;Poland;21;51
4515;Poland;21;11
4517;Poland;21;22
4524;Poland;13;12
4526;Poland;21;31
4528;Poland;21;12
4534;Poland;12;11
4535;Poland;13;34
4543;Poland;11;62
4547;Poland;11;32
4549;Poland;13;61
4554;Poland;21;42
4558;Poland;12;21
4561;Poland;21;22
4568;Poland;21;11
4569;Poland;23;22
4570;Poland;21;63
4576;Poland;23;41
4578;Poland;11;63
4580;Poland;23;12
4582;Poland;21;32
4583;Poland;13;42
4587;Poland;12;21
4593;Poland;13;42
4596;Poland;13;22
4597;Poland;13;61
4606;Poland;13;21
4609;Poland;13;51
4612;Poland;23;22
4623;Poland;21;51
4629;Poland;23;12
4633;Poland;23;11
4635;Poland;21;12
4636;Poland;12;21
4639;Poland;23;22
4649;Poland;22;22
4651;Poland;21;33
4652;Poland;21;31
4655;Poland;11;11
4658;Poland;23;22
4659;Poland;13;12
4663;Poland;22;22
4672;Poland;23;22
4676;Poland;13;32
4678;Poland;12;51
4679;Poland;11;33
4680;Poland;22;22
4682;Poland;21;32
4685;Poland;11;22
4693;Poland;11;22
4701;Poland;21;12
4714;Poland;12;41
4721;Poland;21;31
4725;Poland;23;22
4727;Poland;21;11
4732;Poland;23;31
4745;Poland;11;42
4752;Poland;22;62
4755;Poland;12;34
4768;Poland;12;52
4772;Poland;11;41
4776;Poland;13;22
4780;Poland;22;41
4782;Poland;13;41
4787;Poland;11;41
4788;Poland;11;31
4794;Poland;12;31
4799;Poland;13;42
4807;Poland;22;12
4808;Poland;13;21
4819;Poland;13;21
4826;Poland;23;12
4829;Poland;21;31
4845;Poland;11;63
4861;Poland;12;41
4864;Poland;11;42
4883;Poland;23;21
4886;Poland;23;63
4889;Poland;21;31
4890;Poland;23;41
4894;Poland;23;12
4898;Poland;11;42
4900;Poland;23;32
4902;Poland;21;41
4909;Poland;21;22
4922;Poland;13;11
4924;Poland;22;42
4934;Poland;11;62
4940;Poland;23;32
4943;Poland;23;63
4944;Poland;11;12
4945;Poland;21;21
4946;Poland;21;12
4959;Poland;12;22
4969;Poland;22;21
4974;Poland;23;32
4989;Poland;11;12
4992;Poland;22;12
4995;Poland;12;12
4996;Poland;11;12
4998;Poland;21;62
5005;Poland;12;22
5013;Poland;13;51
5015;Poland;22;63
5017;Poland;12;11
5019;Poland;12;33
5021;Poland;13;21
5028;Poland;21;52
