idno;cntry;demogr;regionR
5029;Poland;22;61
5045;Poland;13;33
5046;Poland;22;62
5069;Poland;22;22
5071;Poland;13;32
5072;Poland;11;31
5073;Poland;12;11
5077;Poland;23;12
5084;Poland;21;63
5086;Poland;13;51
5088;Poland;23;51
5089;Poland;23;41
5100;Poland;23;12
5102;Poland;11;22
5103;Poland;11;52
5104;Poland;12;41
5131;Poland;12;63
5132;Poland;13;51
5133;Poland;12;61
5135;Poland;23;41
5150;Poland;11;12
5161;Poland;21;21
5166;Poland;21;61
5176;Poland;22;42
5179;Poland;23;41
5181;Poland;23;51
5191;Poland;21;12
5202;Poland;11;11
5203;Poland;13;43
5210;Poland;13;41
5214;Poland;12;12
5215;Poland;23;32
5223;Poland;12;11
5224;Poland;23;42
5229;Poland;13;42
5243;Poland;13;42
5249;Poland;23;41
5251;Poland;12;12
5253;Poland;22;51
5256;Poland;21;31
5262;Poland;21;61
5264;Poland;11;12
5265;Poland;22;11
5268;Poland;21;63
5270;Poland;13;42
5271;Poland;13;42
5288;Poland;22;42
5290;Poland;13;22
5303;Poland;23;42
5306;Poland;11;61
5311;Poland;23;61
5316;Poland;12;52
5325;Poland;11;11
5328;Poland;11;61
5335;Poland;22;21
5344;Poland;21;22
5349;Poland;12;33
5356;Poland;13;22
5359;Poland;13;41
5362;Poland;23;33
5372;Poland;22;63
5377;Poland;22;51
5380;Poland;12;21
5385;Poland;22;12
5386;Poland;13;52
5400;Poland;11;63
5402;Poland;11;33
5411;Poland;22;34
5416;Poland;13;42
5420;Poland;23;51
5422;Poland;21;22
5425;Poland;12;41
5427;Poland;23;31
5442;Poland;13;62
5443;Poland;21;62
5458;Poland;13;11
5462;Poland;11;12
5468;Poland;21;12
5480;Poland;13;12
5482;Poland;21;62
5484;Poland;21;31
5489;Poland;22;33
5499;Poland;11;51
5505;Poland;21;51
5508;Poland;23;51
5524;Poland;22;12
5539;Poland;22;62
5551;Poland;22;21
5561;Poland;13;33
5574;Poland;13;32
5580;Poland;11;31
5589;Poland;23;22
5599;Poland;12;12
5604;Poland;23;41
5605;Poland;12;12
5609;Poland;23;33
5625;Poland;11;12
5635;Poland;21;12
5637;Poland;11;21
5641;Poland;11;12
5645;Poland;13;42
5656;Poland;21;32
5664;Poland;21;12
5665;Poland;11;41
5674;Poland;23;22
5675;Poland;22;52
5679;Poland;13;61
5680;Poland;13;63
5682;Poland;11;31
5683;Poland;23;21
5692;Poland;11;32
5694;Poland;13;11
5697;Poland;12;12
5701;Poland;21;12
5703;Poland;12;61
5709;Poland;12;12
5711;Poland;23;33
5713;Poland;11;51
5715;Poland;22;33
5729;Poland;21;12
5740;Poland;13;32
5744;Poland;12;41
5745;Poland;22;41
5753;Poland;23;41
5754;Poland;13;21
5768;Poland;23;21
5770;Poland;11;51
5779;Poland;13;33
5785;Poland;11;61
5793;Poland;12;52
5796;Poland;21;22
5800;Poland;22;21
5803;Poland;11;33
5816;Poland;12;12
5817;Poland;11;61
5819;Poland;23;22
5823;Poland;21;34
5824;Poland;12;22
5829;Poland;22;61
5832;Poland;12;11
5835;Poland;21;41
5841;Poland;11;11
5853;Poland;11;42
5867;Poland;13;22
5868;Poland;22;32
5869;Poland;13;12
5874;Poland;12;21
5880;Poland;13;61
5884;Poland;22;61
5886;Poland;13;12
5887;Poland;13;62
5901;Poland;13;22
5905;Poland;23;21
5911;Poland;12;51
5912;Poland;21;11
5913;Poland;12;61
5943;Poland;23;51
5945;Poland;22;42
5953;Poland;11;12
5968;Poland;12;22
5971;Poland;11;51
5973;Poland;11;51
5980;Poland;12;12
5983;Poland;11;51
5985;Poland;23;41
5990;Poland;13;51
5996;Poland;13;31
5997;Poland;13;42
5999;Poland;23;12
6002;Poland;22;12
6007;Poland;13;12
6008;Poland;23;11
6011;Poland;22;11
6024;Poland;11;33
6025;Poland;23;12
6029;Poland;12;12
6030;Poland;22;22
6031;Poland;21;62
6032;Poland;13;21
6040;Poland;21;21
6043;Poland;13;12
6046;Poland;21;52
6047;Poland;13;22
6049;Poland;12;12
6056;Poland;22;41
6060;Poland;23;22
6067;Poland;23;34
6068;Poland;21;31
6075;Poland;13;33
6091;Poland;13;22
6094;Poland;22;42
6114;Poland;11;22
6115;Poland;11;42
6125;Poland;21;33
6129;Poland;23;21
6132;Poland;23;41
6133;Poland;12;32
6138;Poland;11;12
6139;Poland;21;43
6141;Poland;23;33
6148;Poland;23;43
6166;Poland;11;21
6168;Poland;12;11
6172;Poland;12;21
6173;Poland;23;43
6175;Poland;23;52
6181;Poland;23;61
6186;Poland;23;34
6190;Poland;13;21
6191;Poland;21;41
6207;Poland;13;41
6217;Poland;13;43
6220;Poland;22;11
6235;Poland;23;12
6237;Poland;21;12
6240;Poland;21;41
6243;Poland;12;11
6255;Poland;11;12
6259;Poland;21;22
6268;Poland;11;33
6276;Poland;13;12
6278;Poland;22;41
6290;Poland;22;52
6291;Poland;12;12
6301;Poland;21;63
6304;Poland;22;41
6305;Poland;21;51
6324;Poland;23;51
6328;Poland;21;32
6336;Poland;13;51
6341;Poland;13;32
6349;Poland;21;21
6354;Poland;11;11
6362;Poland;12;34
6364;Poland;23;33
6374;Poland;23;51
6377;Poland;13;11
6379;Poland;13;21
6389;Poland;11;12
6394;Poland;11;33
6403;Poland;12;51
6414;Poland;12;32
6423;Poland;23;12
6429;Poland;13;22
6431;Poland;12;22
6435;Poland;22;51
6439;Poland;11;33
6443;Poland;23;63
6449;Poland;13;62
6459;Poland;11;43
6467;Poland;22;22
6481;Poland;13;41
6482;Poland;23;41
6483;Poland;22;62
6495;Poland;23;51
6497;Poland;12;34
6500;Poland;23;41
6501;Poland;21;61
6504;Poland;23;51
6507;Poland;23;22
6511;Poland;22;12
6512;Poland;11;22
6515;Poland;23;42
6537;Poland;23;22
6539;Poland;11;51
6543;Poland;21;42
6546;Poland;22;21
6547;Poland;21;51
6548;Poland;23;21
6565;Poland;23;61
6566;Poland;23;21
6571;Poland;12;51
6581;Poland;23;22
6582;Poland;12;21
6593;Poland;22;42
6596;Poland;21;43
6597;Poland;12;21
6601;Poland;12;51
6608;Poland;12;41
6612;Poland;21;61
6620;Poland;11;63
6628;Poland;12;42
6632;Poland;12;43
6634;Poland;22;33
6639;Poland;21;42
6643;Poland;23;63
6645;Poland;22;32
6646;Poland;11;61
6650;Poland;23;34
6655;Poland;11;61
6679;Poland;22;43
6686;Poland;23;43
6688;Poland;12;41
6690;Poland;11;34
6695;Poland;11;12
6696;Poland;11;31
6703;Poland;22;32
6712;Poland;21;33
6716;Poland;11;21
6719;Poland;11;52
6723;Poland;11;21
6733;Poland;12;11
6740;Poland;23;31
6754;Poland;13;12
6763;Poland;23;52
6769;Poland;23;22
6772;Poland;21;42
6780;Poland;11;22
6783;Poland;11;21
6788;Poland;23;61
6796;Poland;11;12
6814;Poland;12;12
6817;Poland;22;51
6844;Poland;22;11
6848;Poland;22;11
6849;Poland;21;12
6851;Poland;12;12
6853;Poland;23;63
6857;Poland;11;32
6867;Poland;22;31
6873;Poland;12;22
6878;Poland;21;41
6880;Poland;12;21
6888;Poland;13;33
6901;Poland;12;32
6903;Poland;11;33
6911;Poland;13;21
6912;Poland;11;12
6920;Poland;13;34
6926;Poland;22;63
6932;Poland;12;31
6938;Poland;12;31
6945;Poland;21;11
6947;Poland;13;11
6955;Poland;13;41
6957;Poland;23;12
6961;Poland;21;42
6968;Poland;23;43
6976;Poland;22;61
6985;Poland;12;41
6990;Poland;11;61
6993;Poland;13;21
6995;Poland;11;31
6998;Poland;22;43
6999;Poland;23;52
7012;Poland;13;12
7015;Poland;22;22
7017;Poland;23;21
7029;Poland;12;42
7030;Poland;13;22
7031;Poland;11;11
7054;Poland;13;61
7058;Poland;12;34
7060;Poland;12;31
7061;Poland;23;32
7071;Poland;13;32
7083;Poland;13;61
7089;Poland;11;31
7097;Poland;13;12
7099;Poland;11;32
7102;Poland;13;21
7108;Poland;23;41
7115;Poland;12;62
7117;Poland;22;62
7118;Poland;23;61
7119;Poland;22;41
7121;Poland;22;22
7135;Poland;23;51
7141;Poland;11;12
7145;Poland;11;12
7147;Poland;23;41
7154;Poland;13;41
7160;Poland;22;52
7161;Poland;11;33
7162;Poland;12;12
7166;Poland;11;21
7168;Poland;21;51
7172;Poland;23;63
7174;Poland;23;31
7179;Poland;21;42
7180;Poland;12;62
7181;Poland;23;22
7188;Poland;21;12
7190;Poland;23;32
7198;Poland;11;41
7207;Poland;23;12
7214;Poland;12;51
7217;Poland;12;12
7221;Poland;22;63
7228;Poland;21;22
7233;Poland;23;12
7239;Poland;12;21
7240;Poland;11;12
7244;Poland;21;41
7254;Poland;11;33
7257;Poland;13;11
7263;Poland;11;63
7264;Poland;23;21
7271;Poland;12;11
7277;Poland;22;22
7287;Poland;12;22
7291;Poland;21;31
7293;Poland;21;21
7300;Poland;13;22
7304;Poland;13;11
7308;Poland;12;21
7315;Poland;22;41
7318;Poland;12;21
7323;Poland;13;12
7324;Poland;22;22
7328;Poland;22;42
7333;Poland;22;62
7335;Poland;13;22
7339;Poland;12;63
7345;Poland;23;41
7349;Poland;22;34
7353;Poland;12;21
7360;Poland;12;33
7368;Poland;12;43
7369;Poland;22;22
7376;Poland;21;22
7383;Poland;11;11
7390;Poland;23;42
7401;Poland;22;34
7414;Poland;22;51
7416;Poland;21;61
7420;Poland;23;12
7422;Poland;23;61
7429;Poland;23;32
7430;Poland;22;62
7437;Poland;22;11
7441;Poland;23;22
7446;Poland;21;41
7449;Poland;11;31
7452;Poland;22;32
7458;Poland;11;61
7460;Poland;12;34
7464;Poland;11;21
7465;Poland;12;51
7470;Poland;23;41
7472;Poland;12;12
7478;Poland;21;21
7490;Poland;21;62
7492;Poland;11;11
7505;Poland;22;11
7508;Poland;22;41
7510;Poland;23;11
7512;Poland;11;63
7518;Poland;23;33
7531;Poland;22;42
7532;Poland;21;11
7539;Poland;22;41
7540;Poland;11;22
7545;Poland;22;31
7547;Poland;22;32
7552;Poland;21;52
7556;Poland;22;22
7560;Poland;23;32
7561;Poland;11;22
7562;Poland;13;21
7579;Poland;22;52
7592;Poland;11;41
7602;Poland;12;31
7604;Poland;11;22
7609;Poland;23;22
7610;Poland;21;32
7611;Poland;12;62
7614;Poland;12;61
7625;Poland;22;11
7644;Poland;22;51
7659;Poland;11;32
7663;Poland;12;11
7665;Poland;13;43
7669;Poland;11;12
7677;Poland;13;31
7680;Poland;12;12
7681;Poland;13;22
7692;Poland;11;22
7696;Poland;13;41
7701;Poland;23;41
7704;Poland;11;51
7706;Poland;11;32
7709;Poland;22;22
7710;Poland;11;21
7719;Poland;11;41
7722;Poland;12;22
7728;Poland;13;33
7745;Poland;23;41
7756;Poland;23;42
7758;Poland;13;43
7760;Poland;23;42
7765;Poland;21;12
7768;Poland;13;22
7769;Poland;12;63
7776;Poland;23;32
7780;Poland;12;11
7782;Poland;13;32
7787;Poland;21;61
7790;Poland;21;62
7793;Poland;11;62
7796;Poland;13;62
7811;Poland;13;11
7816;Poland;22;43
7818;Poland;11;34
7821;Poland;12;12
7823;Poland;22;42
7845;Poland;23;42
7847;Poland;23;61
7848;Poland;21;43
7849;Poland;21;21
7854;Poland;21;31
7864;Poland;11;51
7865;Poland;23;32
7871;Poland;12;12
7873;Poland;22;43
7876;Poland;22;52
7881;Poland;11;12
7883;Poland;13;34
7895;Poland;13;11
7898;Poland;12;21
7900;Poland;21;11
7901;Poland;12;41
7912;Poland;12;34
7916;Poland;22;32
7923;Poland;23;33
7927;Poland;12;41
7928;Poland;23;41
7932;Poland;23;12
7933;Poland;23;12
7934;Poland;22;33
7943;Poland;22;11
7959;Poland;23;22
7961;Poland;13;22
7964;Poland;23;21
7966;Poland;22;42
7967;Poland;21;11
7971;Poland;13;62
7973;Poland;11;21
7978;Poland;11;61
8002;Poland;12;11
8017;Poland;13;63
8018;Poland;22;63
8022;Poland;23;32
8030;Poland;11;42
8031;Poland;11;21
8032;Poland;11;22
8034;Poland;22;22
8038;Poland;12;12
8040;Poland;21;32
8051;Poland;23;41
8052;Poland;11;22
8056;Poland;13;51
8060;Poland;13;11
8062;Poland;22;41
8068;Poland;23;11
8072;Poland;21;11
8074;Poland;13;31
8076;Poland;12;41
8077;Poland;11;22
8078;Poland;13;33
8079;Poland;12;32
8084;Poland;23;21
8095;Poland;21;41
8098;Poland;12;22
8101;Poland;12;31
8103;Poland;11;22
8108;Poland;22;22
8112;Poland;13;21
8114;Poland;11;41
8115;Poland;23;21
8136;Poland;21;51
8142;Poland;22;12
8148;Poland;13;51
8157;Poland;23;62
8159;Poland;22;42
8174;Poland;12;11
8179;Poland;23;31
8180;Poland;23;12
8185;Poland;22;41
8193;Poland;23;12
8194;Poland;13;21
8195;Poland;12;21
8196;Poland;21;21
8202;Poland;21;33
8204;Poland;11;12
8205;Poland;11;21
8207;Poland;12;12
8211;Poland;11;33
8213;Poland;21;63
8214;Poland;23;12
8216;Poland;23;42
8228;Poland;23;32
8233;Poland;12;62
8234;Poland;23;51
8237;Poland;23;43
8246;Poland;12;22
8250;Poland;21;11
8273;Poland;13;12
8276;Poland;21;12
8279;Poland;12;51
8282;Poland;12;21
8284;Poland;13;61
8296;Poland;13;61
8302;Poland;11;22
8306;Poland;11;41
8311;Poland;23;63
8313;Poland;21;31
8328;Poland;11;22
8335;Poland;12;34
8336;Poland;23;11
8337;Poland;21;21
8338;Poland;12;21
8346;Poland;21;42
8347;Poland;11;41
8355;Poland;11;21
8356;Poland;22;12
8360;Poland;21;21
8361;Poland;23;22
8364;Poland;23;41
8369;Poland;22;12
8371;Poland;13;11
8376;Poland;13;41
8377;Poland;21;61
8379;Poland;22;31
8382;Poland;13;51
8391;Poland;13;34
8395;Poland;22;22
8397;Poland;11;11
8398;Poland;21;42
8402;Poland;22;22
8411;Poland;21;51
8415;Poland;23;42
8420;Poland;23;22
8430;Poland;11;21
8434;Poland;12;63
8435;Poland;21;33
8436;Poland;21;11
8440;Poland;11;12
8448;Poland;22;42
8449;Poland;13;21
8452;Poland;22;41
8456;Poland;23;63
8460;Poland;22;21
8465;Poland;12;61
8468;Poland;13;62
8469;Poland;13;52
8470;Poland;21;51
8473;Poland;11;21
8476;Poland;21;61
8477;Poland;11;63
8478;Poland;11;41
8490;Poland;21;32
8492;Poland;12;32
8494;Poland;21;32
8499;Poland;13;63
8502;Poland;22;22
8506;Poland;13;42
8525;Poland;13;12
8530;Poland;11;12
8532;Poland;21;51
8533;Poland;23;32
8537;Poland;11;41
8555;Poland;22;61
8561;Poland;13;21
8567;Poland;13;41
8568;Poland;12;22
8577;Poland;13;21
8580;Poland;21;22
8584;Poland;13;52
8586;Poland;13;41
8596;Poland;21;22
8599;Poland;12;63
8603;Poland;21;51
8625;Poland;21;62
8631;Poland;23;11
8636;Poland;21;41
8654;Poland;12;31
8665;Poland;23;42
8669;Poland;12;21
8674;Poland;13;31
8677;Poland;12;61
8681;Poland;12;62
8683;Poland;22;21
8684;Poland;11;12
8689;Poland;12;51
8697;Poland;21;11
8698;Poland;23;11
8700;Poland;12;11
8714;Poland;23;11
8723;Poland;11;34
8724;Poland;13;12
8729;Poland;22;12
8732;Poland;23;11
8736;Poland;11;63
8738;Poland;13;12
8739;Poland;21;21
8748;Poland;22;12
8752;Poland;13;61
8759;Poland;22;22
8765;Poland;22;52
8766;Poland;13;63
8767;Poland;13;12
8775;Poland;12;41
8781;Poland;22;32
8782;Poland;13;41
8796;Poland;21;41
8797;Poland;23;22
8812;Poland;13;12
8820;Poland;22;33
8824;Poland;22;63
8828;Poland;23;42
8848;Poland;12;62
8855;Poland;23;52
8858;Poland;13;32
8867;Poland;23;33
8871;Poland;23;52
8872;Poland;23;61
8879;Poland;21;42
8883;Poland;23;43
8885;Poland;11;12
8893;Poland;21;21
8898;Poland;11;21
8899;Poland;12;63
8904;Poland;11;11
8905;Poland;11;31
8909;Poland;11;22
8912;Poland;11;41
8918;Poland;23;51
8923;Poland;21;42
8924;Poland;12;12
8929;Poland;22;21
8930;Poland;23;21
8970;Poland;23;11
8979;Poland;23;63
8984;Poland;11;62
8987;Poland;13;61
8988;Poland;11;31
8992;Poland;12;61
9002;Poland;23;61
9004;Poland;21;34
9009;Poland;12;31
9017;Poland;11;22
9018;Poland;21;21
9020;Poland;13;12
9025;Poland;23;41
9037;Poland;23;31
9041;Poland;13;22
9042;Poland;13;52
9048;Poland;11;41
9050;Poland;22;63
9056;Poland;21;63
9060;Poland;21;12
9063;Poland;21;41
9066;Poland;12;31
9075;Poland;21;41
9076;Poland;21;32
9077;Poland;23;51
9080;Poland;23;12
9090;Poland;13;12
9098;Poland;11;52
9109;Poland;12;22
9112;Poland;23;34
9113;Poland;23;12
9116;Poland;12;33
9129;Poland;13;11
9132;Poland;13;63
9142;Poland;11;43
9152;Poland;22;61
9156;Poland;13;12
9158;Poland;22;22
9161;Poland;23;34
9171;Poland;11;33
9180;Poland;22;61
9181;Poland;22;12
9185;Poland;13;41
9190;Poland;13;22
9197;Poland;13;21
9200;Poland;21;22
9203;Poland;22;42
9206;Poland;23;32
9210;Poland;23;22
9230;Poland;13;34
9233;Poland;11;33
9245;Poland;23;22
9246;Poland;11;22
9249;Poland;11;51
9253;Poland;22;12
9254;Poland;21;61
9256;Poland;12;62
9259;Poland;22;61
9266;Poland;22;12
9282;Poland;12;43
9289;Poland;23;61
9290;Poland;11;43
9291;Poland;22;34
9292;Poland;12;34
9295;Poland;21;22
9305;Poland;13;42
9307;Poland;11;51
9308;Poland;22;21
9310;Poland;21;61
9314;Poland;23;12
9315;Poland;12;22
9320;Poland;23;22
9322;Poland;13;12
9324;Poland;22;61
9327;Poland;11;12
9339;Poland;11;33
9340;Poland;11;22
9348;Poland;13;42
9365;Poland;12;51
9366;Poland;13;61
9369;Poland;11;22
9380;Poland;23;31
9384;Poland;12;41
9395;Poland;11;51
9403;Poland;22;43
9406;Poland;12;12
9408;Poland;23;52
9411;Poland;12;31
9414;Poland;23;32
9415;Poland;13;51
9417;Poland;21;21
9418;Poland;23;12
9423;Poland;22;43
9426;Poland;13;62
9427;Poland;12;11
9428;Poland;21;41
9436;Poland;12;43
9438;Poland;21;12
9439;Poland;12;22
9441;Poland;23;11
9442;Poland;13;41
9448;Poland;23;32
9449;Poland;22;12
9452;Poland;21;12
9456;Poland;13;51
9475;Poland;11;12
9487;Poland;23;63
9488;Poland;22;12
9498;Poland;13;21
9501;Poland;12;41
9510;Poland;13;52
9511;Poland;22;32
9518;Poland;22;31
9521;Poland;11;22
9522;Poland;12;32
9526;Poland;21;43
9528;Poland;21;33
9530;Poland;22;22
9533;Poland;11;32
9536;Poland;12;62
9539;Poland;11;63
9543;Poland;21;12
9544;Poland;23;31
9545;Poland;21;12
9546;Poland;22;34
9552;Poland;23;22
9561;Poland;11;52
9572;Poland;12;63
9575;Poland;12;42
9579;Poland;22;12
9584;Poland;12;32
9586;Poland;13;31
9590;Poland;23;12
9595;Poland;13;63
9597;Poland;21;22
9609;Poland;23;61
9611;Poland;23;62
9614;Poland;12;41
9617;Poland;22;41
9620;Poland;23;31
9626;Poland;22;63
9635;Poland;13;31
9642;Poland;22;12
9644;Poland;13;22
9651;Poland;23;31
9666;Poland;23;51
9671;Poland;11;12
9680;Poland;22;11
9687;Poland;23;34
9692;Poland;21;22
9695;Poland;13;21
9699;Poland;12;43
9709;Poland;11;11
9715;Poland;12;22
9722;Poland;13;12
9728;Poland;22;61
9735;Poland;11;51
9740;Poland;13;34
9747;Poland;22;42
9751;Poland;23;63
9754;Poland;22;22
9768;Poland;21;12
9779;Poland;23;21
9780;Poland;21;22
9782;Poland;22;41
9784;Poland;12;42
9788;Poland;13;33
9799;Poland;12;22
9800;Poland;13;21
9804;Poland;22;21
9809;Poland;12;41
9812;Poland;21;12
9813;Poland;11;31
9820;Poland;23;12
9822;Poland;11;12
9824;Poland;23;63
9829;Poland;13;12
9832;Poland;22;31
9833;Poland;23;12
9848;Poland;23;62
9851;Poland;23;61
9852;Poland;21;12
9854;Poland;22;33
9864;Poland;22;32
9873;Poland;23;34
9876;Poland;21;41
9877;Poland;23;12
9881;Poland;23;41
9884;Poland;23;11
9898;Poland;13;51
9899;Poland;21;22
9902;Poland;23;12
9903;Poland;21;61
9904;Poland;23;12
9915;Poland;13;62
9918;Poland;23;21
9920;Poland;13;41
9921;Poland;23;21
9935;Poland;21;33
9940;Poland;22;12
9942;Poland;12;12
9961;Poland;12;51
9966;Poland;21;33
9968;Poland;11;41
9970;Poland;11;51
9971;Poland;21;32
9976;Poland;21;12
9979;Poland;21;12
9982;Poland;11;21
9986;Poland;23;12
9994;Poland;12;12
9997;Poland;22;32
